"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数化异常测试：验证各种非法输入不会创建文章","31","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"参数化异常测试：验证各种非法输入不会创建文章","16","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"
        直接调用底层 Session 发送数据，测试后端解析器的健壮性和安全性。
        ","5","安全测试：输入非数字字符","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"参数化异常测试：验证各种非法输入不会创建文章","31","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"","32","分页场景：首页_大页宽","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"","45","权限测试：管理员尝试删除","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"
        验证不同数量级的文章删除功能是否正常，并逐一确认数据消失。
        ","46","正向测试：单篇删除","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"
        直接调用底层 Session 发送数据，测试后端解析器的健壮性和安全性。
        ","5","安全测试：输入空字符串","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"","9","分页场景：页码越界_超大值","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"
        验证是否能删除不同状态的文章（特别是已下架文章，常出现逻辑漏洞）。
        ","46","状态测试: 删除已发布的文章","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"","9","搜索场景：S02:模糊搜索常用词","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestSearch","test_article_list","",""
"
        验证不同数量级的文章删除功能是否正常，并逐一确认数据消失。
        ","119","正向测试：小批量删除3","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"","36","分页场景：首页_默认页宽","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"
        验证不同数量级的文章删除功能是否正常，并逐一确认数据消失。
        ","1916","正向测试：大批量删除 50（性能边界试探）","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"
        验证删除接口对异常 ID 或混合 ID 的处理，确保不报错、不误删。
        因为 -1 和 99999 系统中不存在这样的ID 因此无需为这两个用例创建文章
        ","7","边界测试：删除负数ID","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"参数化异常测试：验证各种非法输入不会创建文章","30","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"验证普通用户无法调用新增接口","0","文章管理-04：用户无权新增文章","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"","32","分页场景：页码越界_负值","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"","6","权限测试：普通用户尝试删除","h3blog_test.testcases","2026-03-18","failed","2026-03-18","TestArticleRemove","test_article_remove","",""
"
        验证不同数量级的文章删除功能是否正常，并逐一确认数据消失。
        ","377","正向测试：中批量删除 10","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"","26","分页场景：首页_小页宽","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"","33","分页场景：页码越界_零值","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"参数化异常测试：验证各种非法输入不会创建文章","24","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
